Vendor ID,Vendor Name,Inactive,Contact,Address-Line One,Address-Line Two,City,State,Zip,Country,Vend Type,1099 Type,Telephone 1,Telephone 2,Fax Number,Vendor E-mail,Vendor Web Site,Expense Account,Tax ID Number,Account Number,Ship Via,Use Standard Terms,C.O.D. Terms,Prepaid Terms,Terms Type,Due Days,Discount Days,Discount Percent,Credit Limit,Due Month End Terms,Name Long,Address Long,Special Note,Tax ID,Branch,Vendor Since Date,ID Replacement,Use Payment Settings,Vendor Payment Method,Vendor Cash Account
-,"A.S.I Precision Co.,Ltd.",TRUE,+-+,-+,-+,-+,-+,-+,-+,-+,0,-+,-+,-+,-+,-+,7211-2140-0,,-+,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,-+,-+,-+,,,6/29/18,0,TRUE,,
01-APPLE,APPLE CO. LTD,FALSE,1234-5678,Khlong Nung,,Pathumtani,,,Thailand,L,0,,,,apple@plasess.com,,1381-2140-0,,5678-1234,0,FALSE,FALSE,FALSE,FALSE,60,0,0.00000,"999,999,999.00",FALSE,IF COMPANY HAS LONG NAME,IF COMPANY HAS LONG ADDRESS,PAYMENT EVERY 15,,,1/16/19,0,TRUE,,
01-DAVID,DAVID CO  LTD,FALSE,CHATTAWAT,HIG T ROAD,45,Malaysia,,10130,JAPAN,L,0,5518840610,5521576437,,david.hernandez@plasess.mx,,1381-2140-0,,123456789,0,FALSE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,HEGE830711IA9,,1/16/19,0,TRUE,,
01-TUKTIK,TUKTIK Co.Ltd.,FALSE,Ms.Pachiraratch,,,,,,,I,0,,,,pachiraratch@plasess.com,,1381-2140-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,1/16/19,0,TRUE,,
01-YOTHIN,"YOTHIN CO., LTD.",FALSE,Yothin,9 Seri 2 Road,"Huamark, Bangkapi,",BANGKOK,,10250,Thailand,L,0,662-719-1224,662-719-1225,662-719-1877,yothin@jbizcon.com,,1381-2140-0,,01155456654,0,FALSE,FALSE,FALSE,FALSE,60,0,0.00000,"999,999,999.00",FALSE,,,,012341324134,Head Office,1/16/19,0,TRUE,,
E0000010,Mr. Aditeap,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E0000011,Ms. Kanokporn,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E0000012,Ms. Ratchaneewan,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000002,Mr. Chawiang,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000003,Mr. Padong,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000004,Mr. Chuchai,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000005,Mr. Sakda,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000007,Mr. Opas,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000009,Mr. Songsak,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000010,Mr. Yutthasak,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E000086,Ms. Anchalee S.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E001,Mr. Komura,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00228,Mr. Veera,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00236,Ms. Thanaporn,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00239,Ms. Bang-on,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00374,Mr. Sakorn,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00389,Mr. Taweesak,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00390,Mr. Surapol,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E004,Mr. Nakamura,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00421,Mr. Thanee Jongsukklang,FALSE,,,,,,,,E,0,,,,,,7215-2510-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00482,Mr. Chokdee,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00554,Ms. Nualjan,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E006,Mr. Mori,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00652,Mr. Wachira,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E007,Mr. Kobayashi (M),FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00773,Mr. Payung Songwan,FALSE,,,,,,,,E,0,,,,,,7215-2510-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E00786,Mr. Sumrouy,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E008,Mr. Yamauchi,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E00821,Mr. Yodpet,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00833,Mr. Kriengsak Chotejaruprapawat,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00864,Ms. Thatsana,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00883,Mr. Tanongsak Jangsang,FALSE,,,,,,,,E,0,,,,,,7215-2510-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E00891,Ms. Prajoub,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00897,Ms. Pojjanee,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E009,Mr. Minoru Saito,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00903,Mr. Komon,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00908,Ms. Warintorn,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00913,Ms. Thippawan,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00915,Ms. Sanit,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00990,Mr. Phattanaphan,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E00995,Mr. Thatsanai,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01035,Ms. Benjaporn,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01043,Mr. Teerat,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01051,Mr. Chatchavan,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01054,Mr. Prachansak,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01081,Mr. Amit,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01088,Mr. Amnard,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01089,Ms. Chaninath,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01096,Mr. Somchai,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01108,Mr. Pongsak,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01111,Ms. Wimolsiri,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01134,Mr. Jack,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01136,Ms. Thanpicha,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01139,Mr. Tharadon,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01155,Ms. Rattana,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E01156,Ms. Kornkamol Suanphan,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E05324,Ms. Atchara K.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E05328,Mr. Supoj,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E05349,Ms. Nuttaya S.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E05409,Mr. Yotin Sridara,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05445,Ms. Nittaya,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05455,Ms. Jiraporn,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E05478,Mr. Samrueng P,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05498,Ms. Nudda,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05556,Ms. Supanee,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05566,Ms. Sumalee,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05640,Mr. Somporn,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05655,Mr. Manit S.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05657,Mr. Kreangsak C.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05668,Mr. Toshiyuki Hayashi,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05679,Ms. Cherachaya P.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E05685,Mr. Narong M.,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E09999,Mr. Koichi Morishige,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E1,Mr. Somboon,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E1022,Mr. Jakkrit,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E2,Kreadtisak Nasaree,FALSE,,,,,,,,E,0,,,,,,7457-2510-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E3,Mr.Chalong Teaptong,FALSE,,,,,,,,E,0,,,,,,1111-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E4,Canteen,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E5,Ms. Nongnuc,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
E5332,Ms. Kanittha,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E5350,Ms. Penprapa,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,FALSE,TRUE,FALSE,FALSE,0,0,0.00000,0.00,FALSE,,,,,,,0,TRUE,,
E6,Mr. Ong-art,FALSE,,,,,,,,E,0,,,,,,1411-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
ES0118,"SEISHIN CO.,LTD.",FALSE,,"1521/3 SUKHUMVIT RD.,","NORTH PRAKANONG, WATTANA",BANKKOK,,10110,THAILAND,E,0,0-2714-0824-5,,0-2714-0829,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IASSEMB01,Assembly Division,FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IINJECT01,Injection Division,FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IMOLDDI01,Mold Division,FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IPLASES01,"Plasess Co.,Ltd.",FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IPLASES02,"Plasess Hong Kong Ltd.,",FALSE,,"Unit 1201,12/F.,Metropol Build","53-63 Peking Rd.,Tsim Sha Tsui",Kowloon,,,Hong Kong,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IPLASES03,Plasess International Ltd.,FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IPLASES04,"Plasess (Thailand) Co.,Ltd.",FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IPLASES05,"Plasess Hi-Tech Co.,Ltd.",FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
IPLASES07,"Plasess Plastics (Shenzhen) Co.,Ltd.",FALSE,,"B1 Building,West Industry-Zone","Tan Tou Village,SongGang Stree",Bao An District,,Shenzhen,"GuangDong,China",I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,11/9/11,0,TRUE,,
IPRESSD01,Press Division,FALSE,,,,,,,,I,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
L168RACHANOT,"168 RACHANOT-BOWIN CO.,LTD",FALSE,K. NAN,,,,,,,L,0,0845673240,038-173741-1,038-173740,NAN.168BOWIN@HOTMAIL.COM,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,12/8/11,0,TRUE,,
L2NDPL01,"2nd Plastic Injection Molding Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
L3288EN01,"3288 Engineering Co., Ltd.",FALSE,,,,,,,,L,0,02-8022688,,02-8022460,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
L4DCORP01,4D Corporation Limited,FALSE,,"2532 Floor 6th, Rama 3, Tower,","Rama 3 Rd., Bangklolam,",Bangkok,,10120,Thailand,L,0,02-6836700,,02-6836704,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LAACMEG01,"Aac Mega Fortris (Thailand) Co.,Ltd.",FALSE,,98 thakrabvi Buliding 1 st Soi,"Sukumvit Rd, Klongton,Klontoby",Bangkok,,10110,Thailand,L,0,02-2597142,,02-2597145,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LABILIT01,"Ability Technology Ltd., Part.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LABLESA01,"Able Sanit Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LABSHEE01,"A.B.S. Heet & Fernec Co., Ltd.",FALSE,,,,,,,,L,0,02-7495108-11,02-7495251-2,02-7495116,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LACCESS01,"Access Intertrade Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
